,number_count,id_count,p_count,map_agent_count,name_len_count,prefix_count
87,0.06382978723404255,0.06382978723404255,0.06521739130434782,0.0625,0.028571428571428567,0.02127659574468085
88,0.06382978723404255,0.06382978723404255,0.043478260869565216,0.0,0.08571428571428573,0.0
89,0.0851063829787234,0.0851063829787234,0.06521739130434782,0.0,0.11428571428571427,0.0
90,0.1276595744680851,0.1276595744680851,0.13043478260869568,0.03125,0.028571428571428567,0.042553191489361694
91,0.1702127659574468,0.1702127659574468,0.10869565217391304,0.0625,0.1714285714285714,0.02127659574468085
92,0.042553191489361694,0.042553191489361694,0.0,0.0625,0.028571428571428567,0.02127659574468085
93,0.042553191489361694,0.042553191489361694,0.0,0.0,0.05714285714285715,0.02127659574468085
94,0.25531914893617025,0.25531914893617025,0.2608695652173913,0.09375,0.08571428571428573,0.06382978723404255
95,0.14893617021276595,0.14893617021276595,0.15217391304347827,0.125,0.08571428571428573,0.042553191489361694
96,0.0851063829787234,0.0851063829787234,0.06521739130434782,0.03125,0.05714285714285715,0.02127659574468085
97,0.042553191489361694,0.042553191489361694,0.021739130434782608,0.03125,0.05714285714285715,0.02127659574468085
98,0.1702127659574468,0.1702127659574468,0.021739130434782608,0.0,0.11428571428571427,0.14893617021276595
99,0.06382978723404255,0.06382978723404255,0.06521739130434782,0.0,0.028571428571428567,0.0
100,0.7872340425531914,0.7872340425531914,0.8043478260869565,1.0,0.4857142857142857,0.042553191489361694
101,0.042553191489361694,0.042553191489361694,0.021739130434782608,0.03125,0.028571428571428567,0.0
102,0.0851063829787234,0.0851063829787234,0.06521739130434782,0.09375,0.028571428571428567,0.042553191489361694
103,0.0851063829787234,0.0851063829787234,0.021739130434782608,0.09375,0.028571428571428567,0.042553191489361694
104,0.042553191489361694,0.042553191489361694,0.021739130434782608,0.03125,0.028571428571428567,0.02127659574468085
105,0.042553191489361694,0.042553191489361694,0.0,0.0,0.0,0.0
106,0.042553191489361694,0.042553191489361694,0.043478260869565216,0.03125,0.0,0.042553191489361694
107,0.042553191489361694,0.042553191489361694,0.043478260869565216,0.0,0.028571428571428567,0.042553191489361694
108,0.042553191489361694,0.042553191489361694,0.0,0.0,0.028571428571428567,0.042553191489361694
109,0.042553191489361694,0.042553191489361694,0.043478260869565216,0.0,0.05714285714285715,0.02127659574468085
110,0.14893617021276595,0.14893617021276595,0.043478260869565216,0.03125,0.05714285714285715,0.10638297872340424
111,0.2340425531914893,0.2340425531914893,0.2391304347826087,0.09375,0.11428571428571427,0.10638297872340424
112,0.1276595744680851,0.1276595744680851,0.13043478260869568,0.0,0.028571428571428567,0.06382978723404255
